incompatibility,year,intensity_level,cumulative_intensity,ep_end,gwno_a
0,1978,0,0,1,510
0,1975,0,0,0,435
0,1976,0,0,0,435
0,1977,0,1,0,435
0,1978,0,1,1,435
0,2007,0,0,0,490
0,2008,0,0,1,490
0,2017,0,0,1,490
0,2020,0,0,0,490
1,1991,0,0,0,436
1,1992,0,0,1,436
1,1997,0,0,1,436
1,2007,0,0,0,436
1,2008,0,0,1,436
1,1979,0,0,1,700
0,2007,0,0,0,365
0,2008,0,0,0,365
0,2009,0,1,0,365
0,2010,0,1,0,365
0,2011,0,1,0,365
0,2012,0,1,0,365
0,2013,0,1,0,365
0,2014,0,1,0,365
0,2015,0,1,1,365
0,2008,0,0,1,750
0,2008,0,0,1,522
0,1977,0,0,0,530
0,1978,0,0,0,530
0,1979,0,0,0,530
0,1980,0,0,1,530
0,1981,1,1,1,530
0,1983,0,1,1,530
0,2009,0,0,1,775
0,2014,0,0,0,775
0,2015,0,0,1,775
0,2017,0,0,1,775
0,1973,0,0,0,775
0,1974,0,0,0,775
0,1975,0,0,0,775
0,1976,0,0,0,775
0,1977,0,0,0,775
0,1978,0,0,0,775
0,1979,0,0,0,775
0,1980,0,0,0,775
0,1981,0,0,0,775
0,1982,0,0,1,775
1,2010,0,0,1,435
